id,transactiontime,completiontime,transferFloor,unitPrice,priceWithoutParking,roomNumber,hallNumber,bathNumber,buildingTransferArea,parkingSpacePrice,parkingSpaceTransferArea,price,landAmount,buildingAmount,parkAmount,buildingType,floor,urbanLandUse,buildingArea,subBuildingArea,belconyArea,landTransferArea,parkingSpaceType,longitude,latitude,yhat-hnn,y_x,yhat-mlp,y_y,address
RPSOMLKMLHMFFAH28EA,2017/1/10 00:00:00,2016/7/13 00:00:00,9,81260,10649936,3,2,2,186,4000000,55,14649936,1,1,2,0,13,1,79,0,10,16,2,121.31758943903104,24.986826693537648,78855.7557376815,81260.00074155968,78997.65772823559,81260.00074155968,桃園市桃園區南京街８號九樓
RPOOMLPKLHMFFAH97CA,2016/12/22 00:00:00,2016/7/25 00:00:00,9,98374,12100002,3,2,2,169,1500000,46,13600002,1,1,1,0,12,0,78,0,7,26,2,121.31731562598245,24.988208608765408,99928.23907567447,98374.00152153775,61881.50765330625,98374.00152153775,桃園市桃園區建國里14鄰大林路7號9樓
RPWPMLLMLHMFFAH68CA,2017/3/3 00:00:00,2016/7/13 00:00:00,10,81649,7999969,2,1,1,125,1800000,27,9799969,1,1,1,0,21,1,62,2,3,12,2,121.31758943903104,24.986826693537648,81438.43342920874,81648.99963607185,77514.92842251952,81648.99963607185,桃園市桃園區桃鶯路６２之２號十樓
RPPOMLOLNHMFFAH28CA,2017/4/11 00:00:00,2016/7/13 00:00:00,12,78569,7599979,2,1,1,124,1800000,27,9399979,1,1,1,0,21,1,61,0,4,12,2,121.31714322078636,24.986647078931203,81677.30632426443,78568.99950875099,76942.97450195787,78568.99950875099,桃園市桃園區桃鶯路５０號十二樓
RPWPMLSJOHMFFAH76CA,2017/4/25 00:00:00,2016/7/13 00:00:00,4,77821,10199998,3,2,2,159,1800000,27,11999998,1,1,1,0,13,1,79,0,10,16,2,121.31714322078636,24.986647078931203,78337.89484575219,77820.99980792389,77825.39968156986,77820.99980792389,桃園市桃園區南京街２號四樓
RPSNMLOKOHMFFAH48CA,2017/5/9 00:00:00,2016/7/13 00:00:00,10,80579,7410045,2,1,1,92,0,0,7410045,1,1,0,0,21,1,58,0,4,11,0,121.31758943903104,24.986826693537648,85004.52235431418,80579.000429578,84174.50785339819,80579.000429578,桃園市桃園區桃鶯路６２之３號十樓
RPVOMLSJQHMFFAH76CA,2017/6/30 00:00:00,1979/7/30 00:00:00,4,51654,4170027,3,2,2,81,0,0,4170027,1,1,0,3,4,0,81,0,0,27,0,121.31604274693778,24.986279259287027,50812.90784568759,51654.00001534988,42397.65366954456,51654.00001534988,桃園市桃園區南京街39之3號
RPWNMLSLQHMFFAH96CA,2017/7/6 00:00:00,2016/7/13 00:00:00,2,79049,7549970,2,1,1,121,1700000,25,9249970,2,1,1,0,21,1,61,0,3,12,2,121.31758943903104,24.986826693537648,74067.41561078656,79048.99972864997,73537.55432825048,79048.99972864997,桃園市桃園區桃鶯路６２之１號二樓
RPXOMLSKRHMFFAH17CA,2017/8/19 00:00:00,1988/7/8 00:00:00,5,26768,2599976,3,2,2,97,0,0,2599976,1,1,0,3,5,0,86,0,8,28,0,121.31910360679355,24.990118786238288,37927.950081435534,26767.998884084824,44719.85499013706,26767.998884084824,桃園市桃園區紹興街１８巷１０之４號
RPXNMLMJJIMFFAH28CA,2017/9/8 00:00:00,2016/7/13 00:00:00,17,81070,7880004,2,1,1,123,1700000,25,9580004,2,1,1,0,21,1,61,2,3,12,2,121.31714322078636,24.986647078931203,80675.47608353177,81069.9993708187,78035.408827844,81069.9993708187,桃園市桃園區桃鶯路50之1號17樓
RPSNMLMJJIMFFAH77CA,2017/9/21 00:00:00,2016/7/13 00:00:00,4,82780,10849975,3,2,2,159,1800000,27,12649975,2,1,1,0,13,1,79,0,10,16,2,121.31714322078636,24.986647078931203,78337.89484575219,82780.00015420883,77825.39968156986,82780.00015420883,桃園市桃園區南京街6號四樓
RPWOMLKLIIMFFAH18CA,2017/9/5 00:00:00,1981/1/20 00:00:00,4,41408,4000013,4,0,4,97,0,0,4000013,1,1,0,3,5,0,97,0,0,24,0,121.31970263797396,24.988095160158966,46047.55643279027,41407.99981436451,40399.78946801323,41407.99981436451,桃園市桃園區林森路６巷１７之３號
RPOPMLRLIIMFFAH18CA,2017/9/8 00:00:00,2016/7/13 00:00:00,17,78894,7730034,2,1,1,123,1700000,25,9430034,2,1,1,0,21,1,62,2,3,12,2,121.31758943903104,24.986826693537648,81470.35263510252,78893.99901579211,78318.63033115004,78893.99901579211,桃園市桃園區桃鶯路６２之２號十七樓
RPOPMLPJOHNFFAH58EA,2017/8/18 00:00:00,2016/7/13 00:00:00,5,78508,10290044,3,2,2,159,2000000,27,12290044,2,1,1,0,13,1,79,0,10,16,2,121.31758943903104,24.986826693537648,78988.6819859978,78508.00012265431,77768.50748605825,78508.00012265431,桃園市桃園區南京街８號五樓
RPWPMLOJKIMFFAH68CA,2017/10/11 00:00:00,2016/7/13 00:00:00,2,85806,8300014,2,1,1,124,1900000,27,10200014,2,1,1,0,21,1,61,0,4,12,2,121.31758943903104,24.986826693537648,74424.78759735657,85805.9983312446,73195.84415886833,85805.9983312446,桃園市桃園區桃鶯路６２號二樓
RPXPMLOJKIMFFAH78CA,2017/10/3 00:00:00,2016/7/13 00:00:00,3,82017,10749968,3,2,2,131,0,0,10749968,2,1,0,0,13,1,79,0,10,16,0,121.31714322078636,24.986647078931203,84018.1284492797,82017.00044650989,56983.77203341927,82017.00044650989,桃園市桃園區南京街１０號三樓
RPUNMLLLKIMFFAH18CA,2017/11/7 00:00:00,2016/7/13 00:00:00,20,81385,11419943,3,2,2,168,1900000,27,13319943,2,1,1,0,21,1,88,0,7,17,2,121.31758943903104,24.986826693537648,81940.17884520577,81385.00047790063,78835.88409828261,81385.00047790063,桃園市桃園區桃鶯路５８號二十樓
RPOOMLTLKIMFFAH48CA,2017/11/17 00:00:00,2016/7/13 00:00:00,13,78295,7200008,2,1,1,117,1700000,25,8900008,2,1,1,0,21,1,58,0,4,11,2,121.31758943903104,24.986826693537648,83230.29689451795,78295.00002507414,76231.20896407192,78295.00002507414,桃園市桃園區桃鶯路６２之３號十三樓
